2024-11-27 18:02:43,user,exit
2024-11-27 18:03:18,user,mkdir home
2024-11-27 18:06:55,user,exit
2024-11-27 18:07:10,user,mkdir home
2024-11-27 18:09:11,user,exit
2024-11-27 18:11:36,user,exit
2024-11-27 18:12:21,user,mkdir home
2024-11-27 18:14:24,user,mkdir hne
2024-11-27 18:15:17,user,exit
2024-11-27 18:15:29,user,mkdir home
2024-11-27 18:16:06,user,mkdir hne
2024-11-27 18:16:12,user,mkdir ttt
2024-11-27 18:19:15,user,exit
2024-11-27 18:19:43,user,mkdir home
2024-11-27 18:25:14,user,exit
2024-11-27 18:27:42,user,exit
2024-11-27 18:28:09,user,mkdir home
2024-11-27 18:29:16,user,exit
2024-11-27 18:29:35,user,mkdir home
2024-11-27 18:31:02,user,exit
2024-11-27 18:31:12,user,mkdir home
2024-11-27 18:37:37,user,exit
